genic_region_type,BUD13,DGCR8,DROSHA,EWSR1,FASTKD2,FUS,HNRNPA1,HNRNPC,HNRNPK,HNRNPM,IGF2BP1,IGF2BP2,ILF3,KHSRP,LARP7,LIN28B,LSM11,NOLC1,PTBP1,RBFOX2,RBM15,RPS3,SAFB,SLBP,SSB,TAF15,TARDBP,TRA2A,U2AF1,UPF1
3utr,2.0,0.0,63.0,0.0,0.0,41.0,15.0,0.0,0.0,11.0,45.0,19.0,68.0,125.0,0.0,313.0,13.0,8.0,11.0,169,14.0,0.0,0.0,55.0,41.0,33.0,0.0,1.0,38.0,5.0
5utr,0.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0,6.0,5.0,23.0,2.0,39.0,1.0,0.0,51.0,0.0,5.0,9.0,118,1.0,0.0,0.0,20.0,9.0,4.0,0.0,1.0,1.0,0.0
CDS,4.0,0.0,24.0,0.0,0.0,3.0,0.0,0.0,0.0,24.0,10.0,9.0,22.0,44.0,0.0,203.0,5.0,3.0,7.0,613,0.0,0.0,2.0,50.0,8.0,3.0,0.0,4.0,3.0,1.0
distintron500,5.0,0.0,1184.0,0.0,9.0,90.0,3.0,0.0,23.0,169.0,180.0,106.0,405.0,161.0,0.0,691.0,18.0,28.0,21.0,482,95.0,5.0,4.0,542.0,78.0,132.0,0.0,11.0,120.0,4.0
distnoncoding_intron500,10.0,0.0,622.0,0.0,7.0,686.0,43.0,0.0,65.0,422.0,474.0,390.0,962.0,498.0,3.0,1310.0,67.0,100.0,66.0,581,265.0,7.0,4.0,1148.0,854.0,438.0,0.0,38.0,178.0,12.0
intergenic,398.0,1.0,3800.0,12.0,70.0,4911.0,999.0,84.0,1523.0,7816.0,10911.0,8871.0,34569.0,7215.0,71.0,25911.0,1022.0,2851.0,1114.0,24593,6477.0,339.0,261.0,23174.0,1010.0,12671.0,25.0,588.0,4751.0,276.0
noncoding_exon,29.0,0.0,122.0,18.0,4.0,201.0,28.0,2.0,43.0,132.0,186.0,104.0,518.0,354.0,19.0,769.0,26.0,41.0,34.0,693,57.0,1.0,4.0,327.0,76.0,215.0,2.0,59.0,77.0,13.0
proxintron500,7.0,0.0,143.0,0.0,1.0,9.0,0.0,0.0,3.0,23.0,34.0,7.0,69.0,67.0,0.0,184.0,0.0,1.0,6.0,420,12.0,0.0,0.0,92.0,34.0,24.0,0.0,9.0,10.0,0.0
proxnoncoding_intron500,4.0,0.0,86.0,0.0,0.0,84.0,7.0,0.0,17.0,69.0,93.0,38.0,207.0,193.0,0.0,257.0,9.0,22.0,11.0,263,37.0,2.0,1.0,196.0,29.0,93.0,0.0,22.0,40.0,4.0
stop_codon,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miRNA,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,9,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
